Iogurte açucarado batido meio gordo,Leites e Produtos Lácteos,386.0 kJ,91.0 kcal,2.1 g,13.1 g,200.0 mg,4.7 g,8.0 mg
Iogurte açucarado batido meio gordo com fruta,Leites e Produtos Lácteos,389.0 kJ,92.0 kcal,1.7 g,14.6 g,180.0 mg,4.3 g,6.0 mg
Iogurte açucarado líquido meio gordo,Leites e Produtos Lácteos,295.0 kJ,70.0 kcal,1.4 g,11.2 g,120.0 mg,3.1 g,3.0 mg
Iogurte açucarado com edulcorante de síntese batido magro com cereais,Leites e Produtos Lácteos,208.0 kJ,49.0 kcal,0.4 g,5.7 g,230.0 mg,4.3 g,2.0 mg
Iogurte açucarado com edulcorante de síntese sólido magro,Leites e Produtos Lácteos,201.0 kJ,47.0 kcal,0.1 g,6.3 g,230.0 mg,5.0 g,2.0 mg
Iogurte aromatizado açucarado batido gordo,Leites e Produtos Lácteos,349.0 kJ,83.0 kcal,3.6 g,8.5 g,120.0 mg,3.9 g,8.0 mg
Iogurte aromatizado açucarado batido meio gordo,Leites e Produtos Lácteos,364.0 kJ,86.0 kcal,2.0 g,12.5 g,200.0 mg,4.4 g,8.0 mg
Iogurte aromatizado açucarado líquido magro,Leites e Produtos Lácteos,263.0 kJ,62.0 kcal,0.3 g,11.6 g,150.0 mg,3.2 g,1.0 mg
Iogurte aromatizado açucarado líquido meio gordo,Leites e Produtos Lácteos,297.0 kJ,70.0 kcal,1.3 g,11.5 g,100.0 mg,3.0 g,3.0 mg
Iogurte aromatizado açucarado sólido magro,Leites e Produtos Lácteos,294.0 kJ,69.0 kcal,0.1 g,11.8 g,180.0 mg,5.0 g,1.0 mg
Iogurte aromatizado açucarado sólido meio gordo,Leites e Produtos Lácteos,303.0 kJ,72.0 kcal,1.6 g,10.1 g,140.0 mg,4.1 g,6.0 mg
Gelado caseiro com bolachas e natas,Leites e Produtos Lácteos,1500.0 kJ,358.0 kcal,21.2 g,36.5 g,220.0 mg,5.1 g,62.0 mg
Gelado caseiro com palitos la Reine,Leites e Produtos Lácteos,1100.0 kJ,263.0 kcal,12.4 g,28.7 g,95.0 mg,7.9 g,119.0 mg
Gelado de leite,Leites e Produtos Lácteos,833.0 kJ,199.0 kcal,10.9 g,21.7 g,140.0 mg,3.6 g,33.0 mg
Costeleta ou perna crua de borrego,Carne e Derivados Criação e Caça,520.0 kJ,124.0 kcal,5.0 g,0.0 g,160.0 mg,19.7 g,68.0 mg
Costeleta ou perna assada de borrego com azeite e margarina,Carne e Derivados Criação e Caça,973.0 kJ,234.0 kcal,15.6 g,0.0 g,1400.0 mg,23.3 g,80.0 mg
Costeleta ou perna assada de borrego com margarina,Carne e Derivados Criação e Caça,933.0 kJ,224.0 kcal,14.5 g,0.0 g,1550.0 mg,23.3 g,80.0 mg
Costeleta ou perna assada de borrego sem molho,Carne e Derivados Criação e Caça,706.0 kJ,168.0 kcal,8.0 g,0.0 g,420.0 mg,24.1 g,88.0 mg
Costeleta ou perna cozida de borrego,Carne e Derivados Criação e Caça,661.0 kJ,157.0 kcal,5.7 g,0.0 g,400.0 mg,26.5 g,91.0 mg
Costeleta ou perna de borrego estufada com azeite e margarina,Carne e Derivados Criação e Caça,763.0 kJ,183.0 kcal,12.0 g,1.6 g,950.0 mg,16.2 g,55.0 mg
Costeleta ou perna de borrego estufada com margarina,Carne e Derivados Criação e Caça,730.0 kJ,175.0 kcal,11.1 g,1.6 g,1080.0 mg,16.2 g,55.0 mg
Costeleta ou perna de borrego estufada sem molho,Carne e Derivados Criação e Caça,774.0 kJ,185.0 kcal,9.2 g,0.0 g,550.0 mg,25.5 g,96.0 mg
Costeleta ou perna de borrego frita com margarina sem molho,Carne e Derivados Criação e Caça,698.0 kJ,166.0 kcal,7.6 g,0.0 g,450.0 mg,24.5 g,87.0 mg
Costeleta ou perna de borrego grelhada,Carne e Derivados Criação e Caça,640.0 kJ,152.0 kcal,5.5 g,0.0 g,450.0 mg,25.7 g,88.0 mg
Costeleta de cabrito crua,Carne e Derivados Criação e Caça,506.0 kJ,120.0 kcal,2.7 g,0.0 g,240.0 mg,23.9 g,60.0 mg
Costeleta de cabrito grelhada,Carne e Derivados Criação e Caça,636.0 kJ,151.0 kcal,3.0 g,0.0 g,500.0 mg,30.9 g,78.0 mg
Peito de cabrito cru,Carne e Derivados Criação e Caça,489.0 kJ,116.0 kcal,3.8 g,0.0 g,200.0 mg,20.5 g,57.0 mg
Peito de cabrito estufado com azeite e margarina,Carne e Derivados Criação e Caça,723.0 kJ,173.0 kcal,8.4 g,0.8 g,1100.0 mg,23.3 g,64.0 mg
Peito de cabrito estufado com azeite e óleo alimentar,Carne e Derivados Criação e Caça,736.0 kJ,176.0 kcal,8.8 g,0.7 g,1020.0 mg,23.3 g,64.0 mg
Peito de cabrito estufado com manteiga e óleo alimentar,Carne e Derivados Criação e Caça,723.0 kJ,173.0 kcal,8.4 g,0.8 g,1080.0 mg,23.3 g,69.0 mg
Peito de cabrito estufado com margarina e óleo alimentar,Carne e Derivados Criação e Caça,723.0 kJ,173.0 kcal,8.4 g,0.8 g,1100.0 mg,23.3 g,64.0 mg
